epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9091,1.06768,2.69731,1.60034,0.55021,0.65683,0.6692,0.45472,1.01985,1.59925,1.97645,0.000299633,0.000299633,0.000299633
2,65.8008,0.94241,1.44523,1.43676,0.91976,0.81397,0.93914,0.62135,1.08261,1.07969,2.00635,0.000582746,0.000582746,0.000582746
3,98.2718,0.92904,1.19735,1.42893,0.82996,0.90288,0.95252,0.67893,1.01192,0.81496,1.91925,0.000845862,0.000845862,0.000845862
4,130.407,0.91119,1.08002,1.40022,0.92072,0.95995,0.97036,0.72978,0.91488,0.73746,1.76331,0.000819009,0.000819009,0.000819009
5,162.667,0.90033,0.95404,1.39032,0.9478,0.87589,0.99398,0.74417,0.93938,0.78552,1.79527,0.000789012,0.000789012,0.000789012
6,194.184,0.86248,0.83176,1.37409,0.85817,0.92196,0.98368,0.76491,0.89484,0.69502,1.77204,0.000759015,0.000759015,0.000759015
7,225.926,0.83886,0.77764,1.33973,0.98364,0.94726,0.98127,0.7506,0.89435,0.54624,1.72967,0.000729018,0.000729018,0.000729018
8,256.799,0.84758,0.71681,1.34229,0.9818,0.99726,0.99487,0.80459,0.82182,0.47222,1.62979,0.000699021,0.000699021,0.000699021
9,288.212,0.84049,0.69232,1.34324,0.97455,0.9835,0.99413,0.78829,0.87644,0.52764,1.70371,0.000669024,0.000669024,0.000669024
10,319.041,0.81565,0.64582,1.3159,0.98189,0.9778,0.99335,0.79362,0.84147,0.4794,1.67155,0.000639027,0.000639027,0.000639027
11,349.863,0.80643,0.62568,1.3201,0.97998,0.98433,0.99448,0.79251,0.82284,0.45216,1.63315,0.00060903,0.00060903,0.00060903
12,380.861,0.80697,0.58447,1.3118,0.97594,0.99525,0.99363,0.79746,0.84299,0.44655,1.64582,0.000579033,0.000579033,0.000579033
13,411.719,0.79691,0.56921,1.29768,0.98368,0.99781,0.99474,0.81719,0.78765,0.40781,1.58024,0.000549036,0.000549036,0.000549036
14,443.465,0.78162,0.54627,1.29371,0.99375,0.99331,0.995,0.80246,0.83496,0.40425,1.65901,0.000519039,0.000519039,0.000519039
15,474.649,0.76716,0.53133,1.28033,0.97905,1,0.9945,0.82654,0.8046,0.40116,1.59514,0.000489042,0.000489042,0.000489042
16,506.272,0.76211,0.51335,1.28125,0.98888,1,0.99461,0.83419,0.75853,0.36633,1.52511,0.000459045,0.000459045,0.000459045
17,538.048,0.75071,0.49765,1.26949,0.98171,0.99539,0.995,0.81618,0.77879,0.37803,1.55869,0.000429048,0.000429048,0.000429048
18,568.501,0.75246,0.50697,1.26393,0.99154,0.99173,0.995,0.84045,0.75398,0.36383,1.52571,0.000399051,0.000399051,0.000399051
19,599.806,0.72908,0.46764,1.25806,0.98643,0.99645,0.99474,0.83235,0.74075,0.35985,1.49524,0.000369054,0.000369054,0.000369054
20,630.84,0.74624,0.51087,1.27118,0.97668,0.99872,0.99448,0.836,0.73889,0.35001,1.50186,0.000339057,0.000339057,0.000339057
21,662.757,0.61808,0.4129,1.34035,0.98446,0.99585,0.995,0.8401,0.73975,0.3678,1.49666,0.00030906,0.00030906,0.00030906
22,692.048,0.58143,0.35237,1.32718,0.99158,1,0.995,0.84479,0.72188,0.3262,1.46951,0.000279063,0.000279063,0.000279063
23,722.058,0.57324,0.34091,1.30172,0.98891,0.99905,0.995,0.85354,0.73422,0.33068,1.48691,0.000249066,0.000249066,0.000249066
24,751.846,0.55825,0.31548,1.30029,0.98974,0.99874,0.995,0.85059,0.71315,0.32719,1.46442,0.000219069,0.000219069,0.000219069
25,781.137,0.53888,0.30444,1.26412,0.98638,0.99913,0.99461,0.84341,0.72198,0.32058,1.47289,0.000189072,0.000189072,0.000189072
26,810.159,0.55757,0.29546,1.27744,0.98947,1,0.99487,0.85864,0.70696,0.30503,1.45315,0.000159075,0.000159075,0.000159075
27,839.977,0.54243,0.29836,1.26063,0.98899,1,0.99448,0.86004,0.71641,0.30625,1.46818,0.000129078,0.000129078,0.000129078
28,869.615,0.52569,0.28115,1.25358,0.98903,0.99954,0.99461,0.86531,0.70375,0.29956,1.44547,9.9081e-05,9.9081e-05,9.9081e-05
29,898.064,0.52572,0.27501,1.25611,0.98933,0.99991,0.99474,0.86766,0.70638,0.29755,1.44939,6.9084e-05,6.9084e-05,6.9084e-05
30,927.2,0.51417,0.26836,1.24665,0.98893,0.99966,0.99474,0.87058,0.705,0.2951,1.44782,3.9087e-05,3.9087e-05,3.9087e-05
